date,sector,compra,compra_pc,venda,net,net_pc
2006-06-28,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-28,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-28,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-29,Banco Central,3350,0.74,382774,-379424,-84.07000000000001
2006-06-29,Bancos,377847,83.72,60097,317750,70.4
2006-06-29,DTVM'S e Corretoras de Valores,17639,3.91,950,16689,3.7
2006-06-29,Invest Institucional Nacional,51739,11.46,6694,45045,9.98
2006-06-29,Investidores Não Residentes,730,0.16,790,-60,-0.01999999999999999
2006-06-30,Banco Central,3350,0.74,382774,-379424,-84.15
2006-06-30,Bancos,377447,83.71,59697,317750,70.47
2006-06-30,DTVM'S e Corretoras de Valores,17639,3.91,950,16689,3.7
2006-06-30,Invest Institucional Nacional,51739,11.47,6694,45045,9.99
2006-06-30,Investidores Não Residentes,730,0.16,790,-60,-0.01999999999999999
2006-07-03,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-03,Bancos,352347,83.04,41547,310800,73.25
2006-07-03,DTVM'S e Corretoras de Valores,17639,4.16,950,16689,3.94
2006-07-03,Invest Institucional Nacional,50239,11.84,4694,45545,10.73
2006-07-03,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-04,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-04,Bancos,357347,84.22,41547,315800,74.43
2006-07-04,DTVM'S e Corretoras de Valores,12639,2.98,950,11689,2.76
2006-07-04,Invest Institucional Nacional,50239,11.84,4694,45545,10.73
2006-07-04,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-05,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-05,Bancos,355347,83.75,41547,313800,73.96000000000001
2006-07-05,DTVM'S e Corretoras de Valores,12639,2.98,950,11689,2.76
2006-07-05,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-05,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-06,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-06,Bancos,355347,83.75,41547,313800,73.96000000000001
2006-07-06,DTVM'S e Corretoras de Valores,12639,2.98,950,11689,2.76
2006-07-06,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-06,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-07,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-07,Bancos,355347,83.75,41547,313800,73.96000000000001
2006-07-07,DTVM'S e Corretoras de Valores,12639,2.98,950,11689,2.76
2006-07-07,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-07,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-10,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-10,Bancos,355347,83.75,41547,313800,73.96000000000001
2006-07-10,DTVM'S e Corretoras de Valores,12639,2.98,950,11689,2.76
2006-07-10,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-10,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-11,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-11,Bancos,356147,83.94,41547,314600,74.15
2006-07-11,DTVM'S e Corretoras de Valores,11839,2.79,950,10889,2.57
2006-07-11,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-11,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-12,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-12,Bancos,356147,83.94,41547,314600,74.15
2006-07-12,DTVM'S e Corretoras de Valores,11839,2.79,950,10889,2.57
2006-07-12,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-12,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-13,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-13,Bancos,356147,83.94,41547,314600,74.15
2006-07-13,DTVM'S e Corretoras de Valores,11839,2.79,950,10889,2.57
2006-07-13,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-13,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-14,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-14,Bancos,358947,84.6,41547,317400,74.81
2006-07-14,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-14,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-14,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-17,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-17,Bancos,358947,84.6,41547,317400,74.81
2006-07-17,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-17,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-17,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-18,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-18,Bancos,358947,84.6,41547,317400,74.81
2006-07-18,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-18,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-18,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-19,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-19,Bancos,358947,84.6,41547,317400,74.81
2006-07-19,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-19,Invest Institucional Nacional,52239,12.31,4694,47545,11.200000000000001
2006-07-19,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-20,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-20,Bancos,357947,84.36,41547,316400,74.57
2006-07-20,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-20,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
2006-07-20,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-21,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-21,Bancos,357947,84.36,41547,316400,74.57
2006-07-21,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-21,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
2006-07-21,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-24,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-24,Bancos,357947,84.36,41547,316400,74.57
2006-07-24,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-24,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
2006-07-24,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-25,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-25,Bancos,357947,84.36,41547,316400,74.57
2006-07-25,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-25,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
2006-07-25,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-26,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-26,Bancos,357947,84.36,41547,316400,74.57
2006-07-26,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-26,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
