date,sector,compra,compra_pc,venda,net,net_pc
2013-09-26,DTVM'S e Corretoras de Valores,275,0.02,355,-80,-0.009999999999999998
2013-09-26,Invest Institucional Nacional,388420,33.62,406227,-17807,-1.5399999999999991
2013-09-26,Investidores Não Residentes,422106,36.53,197448,224658,19.44
2013-09-26,Outras Jurídicas Financeiras,30,0,0,30,0
2013-09-26,Pessoa Física,3110,0.27,595,2515,0.22000000000000003
2013-09-26,Pessoa Jurídica Não Financeira,71505,6.19,30470,41035,3.5500000000000003
2013-09-27,Bancos,328216,26.59,559782,-231566,-18.77
2013-09-27,DTVM'S e Corretoras de Valores,380,0.03,380,0,0
2013-09-27,Invest Institucional Nacional,401387,32.52,425509,-24122,-1.9599999999999937
2013-09-27,Investidores Não Residentes,435047,35.25,223739,211308,17.12
2013-09-27,Outras Jurídicas Financeiras,20,0,0,20,0
2013-09-27,Pessoa Física,3330,0.27,555,2775,0.23
2013-09-27,Pessoa Jurídica Não Financeira,65755,5.33,24170,41585,3.37
2013-09-30,Bancos,347656,26.1,584397,-236741,-17.78
2013-09-30,DTVM'S e Corretoras de Valores,580,0.04,450,130,0.010000000000000002
2013-09-30,Invest Institucional Nacional,449280,33.73,455565,-6285,-0.47000000000000597
2013-09-30,Investidores Não Residentes,485249,36.43,266398,218851,16.43
2013-09-30,Outras Jurídicas Financeiras,80,0.01,375,-295,-0.019999999999999997
2013-09-30,Pessoa Física,3875,0.29,450,3425,0.26
2013-09-30,Pessoa Jurídica Não Financeira,45215,3.39,24300,20915,1.57
2013-10-01,Bancos,205148,21.89,420582,-215434,-23
2013-10-01,DTVM'S e Corretoras de Valores,280,0.03,1425,-1145,-0.12
2013-10-01,Invest Institucional Nacional,357468,38.15,332258,25210,2.6899999999999977
2013-10-01,Investidores Não Residentes,329347,35.15,160063,169284,18.07
2013-10-01,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-01,Pessoa Física,3230,0.34,495,2735,0.29000000000000004
2013-10-01,Pessoa Jurídica Não Financeira,41500,4.43,22175,19325,2.0599999999999996
2013-10-02,Bancos,197433,21.21,407252,-209819,-22.549999999999997
2013-10-02,DTVM'S e Corretoras de Valores,130,0.01,1240,-1110,-0.12000000000000001
2013-10-02,Invest Institucional Nacional,359696,38.65,338483,21213,2.280000000000001
2013-10-02,Investidores Não Residentes,327197,35.16,161511,165686,17.809999999999995
2013-10-02,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-02,Pessoa Física,3910,0.42,480,3430,0.37
2013-10-02,Pessoa Jurídica Não Financeira,42330,4.55,21755,20575,2.21
2013-10-03,Bancos,195028,21,406417,-211389,-22.770000000000003
2013-10-03,DTVM'S e Corretoras de Valores,90,0.01,495,-405,-0.04
2013-10-03,Invest Institucional Nacional,357017,38.45,340503,16514,1.7800000000000011
2013-10-03,Investidores Não Residentes,330169,35.56,157899,172270,18.55
2013-10-03,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-03,Pessoa Física,3920,0.42,470,3450,0.37
2013-10-03,Pessoa Jurídica Não Financeira,42270,4.55,22735,19535,2.0999999999999996
2013-10-04,Bancos,192583,20.69,407812,-215229,-23.12
2013-10-04,DTVM'S e Corretoras de Valores,40,0,430,-390,-0.05
2013-10-04,Invest Institucional Nacional,356374,38.29,338872,17502,1.8800000000000026
2013-10-04,Investidores Não Residentes,335886,36.08,159929,175957,18.9
2013-10-04,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-04,Pessoa Física,3830,0.41,470,3360,0.36
2013-10-04,Pessoa Jurídica Não Financeira,42085,4.52,23310,18775,2.0199999999999996
2013-10-07,Bancos,198973,20.67,417377,-218404,-22.689999999999998
